Group,HCT116,RH4
Prom1,0.9036,-0.3550
Prom1,-0.5522,-0.5179
Prom1,-1.2714,0.4874
Prom1,0.1264,-0.7303
Prom1,-0.6921,-0.7937
Prom1,-1.0408,-0.7596
Prom1,-0.3883,-0.8576
Prom1,-0.9351,-0.3959
Prom1,-0.8005,-0.4957
Prom1,0.5586,-0.8448
Prom1,-0.8076,-0.7687
Prom1,-0.7204,-0.5979
Prom1,-0.4226,0.5659
Prom1,-0.5176,-0.7952
Prom1,-0.5014,-0.9580
Prom1,0.1473,-0.5199
Prom1,0.1317,-0.3744
Prom1,-0.5059,-0.4167
Prom1,-0.5443,-0.2882
Prom1,-0.5968,-0.7136
Prom1,-0.1749,-0.7728
Prom1,0.7934,0.0455
Prom1,-0.3744,-0.9024
Prom1,-0.8941,-0.4343
Prom1,-0.111,-0.5892
Prom1,-0.5285,0.9253
Prom1,-0.4689,-0.9528
Prom1,-0.5581,-1.1596
Prom1,-0.5037,-0.8122
Prom1,-0.5947,-0.4469
Prom1,-0.4174,-0.8551
Prom1,0.3428,-0.1681
Prom1,-0.6639,-0.4686
Prom1,-0.4101,-1.0614
Prom1,-0.3927,-0.9783
Prom1,-0.2756,1.7459
Prom1,-0.5213,-0.7263
Prom1,-0.4013,-0.6108
Prom1,-0.3835,-0.4112
Prom1,-1.1315,-0.9873
Prom1,-0.2537,0.1740
Prom1,0.0818,-0.7757
Prom1,-0.8452,-0.6058
Prom1,-0.8573,-0.5124
Prom1,-0.6358,-0.3730
Prom1,-0.9764,-0.7739
Prom1,-0.7911,-0.0555
Prom1,-0.0517,-0.5820
Prom1,-0.3703,-0.7483
Prom1,0.181,0.5970
Prom1,-0.6407,-0.6882
Prom1,1.2668,2.2208
Prom1,-0.072,-0.2511
Prom1,-0.501,-0.3363
Prom1,-0.6189,-0.5201
Prom1,-0.6134,-0.6735
Prom1,3.5968,3.0864
Prom1,-0.6912,-0.5423
Prom1,-0.7329,-0.8770
Prom1,0.4399,0.0838
Prom1,-0.6615,-0.9688
